ideTipoEmpreendimentoOperacao,nomTipoEmpreendimento,sigEmpreendimento,qtdEmpreendimento,mdaPotenciaInstaladakW,mesReferencia,anoReferencia,dthProcessamento
1,Central Geradora Hidrelétrica,CGH,0,0.00,12,2001,13/09/2017 00:00:00
2,Central Geradora Hidrelétrica,CGH,144,78400.00,12,2002,13/09/2017 00:00:00
3,Central Geradora Hidrelétrica,CGH,159,86510.00,12,2003,13/09/2017 00:00:00
4,Central Geradora Hidrelétrica,CGH,171,90050.00,12,2004,13/09/2017 00:00:00
5,Central Geradora Hidrelétrica,CGH,188,99300.00,12,2005,13/09/2017 00:00:00
6,Central Geradora Hidrelétrica,CGH,202,106772.00,12,2006,13/09/2017 00:00:00
7,Central Geradora Hidrelétrica,CGH,215,112258.00,12,2007,13/09/2017 00:00:00
8,Central Geradora Hidrelétrica,CGH,276,153400.00,12,2008,13/09/2017 00:00:00
9,Central Geradora Hidrelétrica,CGH,307,173400.00,12,2009,13/09/2017 00:00:00
10,Central Geradora Hidrelétrica,CGH,327,186120.00,12,2010,13/09/2017 00:00:00
11,Central Geradora Hidrelétrica,CGH,377,216446.00,12,2011,13/09/2017 00:00:00
12,Central Geradora Hidrelétrica,CGH,397,235454.00,12,2012,13/09/2017 00:00:00
13,Central Geradora Hidrelétrica,CGH,444,269996.00,12,2013,13/09/2017 00:00:00
14,Central Geradora Hidrelétrica,CGH,486,303320.00,12,2014,13/09/2017 00:00:00
15,Central Geradora Hidrelétrica,CGH,538,395026.00,12,2015,13/09/2017 00:00:00
16,Central Geradora Hidrelétrica,CGH,581,480933.33,12,2016,13/09/2017 00:00:00
17,Central Geradora Hidrelétrica,CGH,377,216446.00,3,2012,13/09/2017 00:00:00
18,Central Geradora Hidrelétrica,CGH,405,240364.00,3,2013,13/09/2017 00:00:00
19,Central Geradora Hidrelétrica,CGH,449,275195.00,3,2014,13/09/2017 00:00:00
20,Central Geradora Hidrelétrica,CGH,496,326213.00,3,2015,13/09/2017 00:00:00
21,Central Geradora Hidrelétrica,CGH,553,426059.00,3,2016,13/09/2017 00:00:00
22,Central Geradora Hidrelétrica,CGH,603,520999.99,3,2017,13/09/2017 00:00:00
23,Central Geradora Hidrelétrica,CGH,384,229049.00,6,2012,13/09/2017 00:00:00
24,Central Geradora Hidrelétrica,CGH,420,255596.00,6,2013,13/09/2017 00:00:00
25,Central Geradora Hidrelétrica,CGH,451,277679.00,6,2014,13/09/2017 00:00:00
26,Central Geradora Hidrelétrica,CGH,511,349845.00,6,2015,13/09/2017 00:00:00
27,Central Geradora Hidrelétrica,CGH,554,427331.52,6,2016,13/09/2017 00:00:00
28,Central Geradora Hidrelétrica,CGH,389,229744.00,9,2012,13/09/2017 00:00:00
29,Central Geradora Hidrelétrica,CGH,421,256047.00,9,2013,13/09/2017 00:00:00
30,Central Geradora Hidrelétrica,CGH,473,292933.00,9,2014,13/09/2017 00:00:00
31,Central Geradora Hidrelétrica,CGH,525,370609.00,9,2015,13/09/2017 00:00:00
32,Central Geradora Hidrelétrica,CGH,565,450392.25,9,2016,13/09/2017 00:00:00
33,Central Geradora Eolielétrica,EOL,7,21000.00,12,2001,13/09/2017 00:00:00
34,Central Geradora Eolielétrica,EOL,9,22000.00,12,2002,13/09/2017 00:00:00
35,Central Geradora Eolielétrica,EOL,9,22030.00,12,2003,13/09/2017 00:00:00
36,Central Geradora Eolielétrica,EOL,11,28630.00,12,2004,13/09/2017 00:00:00
37,Central Geradora Eolielétrica,EOL,10,28600.00,12,2005,13/09/2017 00:00:00
38,Central Geradora Eolielétrica,EOL,15,236850.00,12,2006,13/09/2017 00:00:00
39,Central Geradora Eolielétrica,EOL,16,247050.00,12,2007,13/09/2017 00:00:00
40,Central Geradora Eolielétrica,EOL,21,338400.00,12,2008,13/09/2017 00:00:00
41,Central Geradora Eolielétrica,EOL,36,602300.00,12,2009,13/09/2017 00:00:00
42,Central Geradora Eolielétrica,EOL,50,926890.00,12,2010,13/09/2017 00:00:00
43,Central Geradora Eolielétrica,EOL,70,1424792.00,12,2011,13/09/2017 00:00:00
44,Central Geradora Eolielétrica,EOL,82,1820382.00,12,2012,13/09/2017 00:00:00
45,Central Geradora Eolielétrica,EOL,108,2201772.00,12,2013,13/09/2017 00:00:00
46,Central Geradora Eolielétrica,EOL,228,4887689.00,12,2014,13/09/2017 00:00:00
47,Central Geradora Eolielétrica,EOL,316,7629732.00,12,2015,13/09/2017 00:00:00
48,Central Geradora Eolielétrica,EOL,413,10123942.22,12,2016,13/09/2017 00:00:00
49,Central Geradora Eolielétrica,EOL,70,1424792.00,3,2012,13/09/2017 00:00:00
50,Central Geradora Eolielétrica,EOL,92,2044538.00,3,2013,13/09/2017 00:00:00
51,Central Geradora Eolielétrica,EOL,117,2441176.00,3,2014,13/09/2017 00:00:00
52,Central Geradora Eolielétrica,EOL,265,5832549.00,3,2015,13/09/2017 00:00:00
53,Central Geradora Eolielétrica,EOL,349,8488082.00,3,2016,13/09/2017 00:00:00
54,Central Geradora Eolielétrica,EOL,423,10364042.38,3,2017,13/09/2017 00:00:00
55,Central Geradora Eolielétrica,EOL,76,1543042.00,6,2012,13/09/2017 00:00:00
56,Central Geradora Eolielétrica,EOL,95,2092541.00,6,2013,13/09/2017 00:00:00
57,Central Geradora Eolielétrica,EOL,151,3106190.00,6,2014,13/09/2017 00:00:00
58,Central Geradora Eolielétrica,EOL,264,6428397.00,6,2015,13/09/2017 00:00:00
59,Central Geradora Eolielétrica,EOL,370,9022700.22,6,2016,13/09/2017 00:00:00
60,Central Geradora Eolielétrica,EOL,80,1692532.00,9,2012,13/09/2017 00:00:00
61,Central Geradora Eolielétrica,EOL,97,2109364.00,9,2013,13/09/2017 00:00:00
62,Central Geradora Eolielétrica,EOL,183,3840138.00,9,2014,13/09/2017 00:00:00
63,Central Geradora Eolielétrica,EOL,273,6629397.00,9,2015,13/09/2017 00:00:00
64,Central Geradora Eolielétrica,EOL,389,9506960.22,9,2016,13/09/2017 00:00:00
65,Pequena Central Hidrelétrica,PCH,303,855000.00,12,2001,13/09/2017 00:00:00
66,Pequena Central Hidrelétrica,PCH,208,896700.00,12,2002,13/09/2017 00:00:00
67,Pequena Central Hidrelétrica,PCH,241,1151000.00,12,2003,13/09/2017 00:00:00
68,Pequena Central Hidrelétrica,PCH,250,1219570.00,12,2004,13/09/2017 00:00:00
69,Pequena Central Hidrelétrica,PCH,260,1329900.00,12,2005,13/09/2017 00:00:00
70,Pequena Central Hidrelétrica,PCH,275,1566288.00,12,2006,13/09/2017 00:00:00
71,Pequena Central Hidrelétrica,PCH,294,1820259.00,12,2007,13/09/2017 00:00:00
72,Pequena Central Hidrelétrica,PCH,329,2453900.00,12,2008,13/09/2017 00:00:00
73,Pequena Central Hidrelétrica,PCH,356,2952800.00,12,2009,13/09/2017 00:00:00
74,Pequena Central Hidrelétrica,PCH,387,3428310.00,12,2010,13/09/2017 00:00:00
75,Pequena Central Hidrelétrica,PCH,433,3870302.00,12,2011,13/09/2017 00:00:00
76,Pequena Central Hidrelétrica,PCH,435,4247818.00,12,2012,13/09/2017 00:00:00
77,Pequena Central Hidrelétrica,PCH,480,4656391.00,12,2013,13/09/2017 00:00:00
78,Pequena Central Hidrelétrica,PCH,471,4738176.00,12,2014,13/09/2017 00:00:00
79,Pequena Central Hidrelétrica,PCH,466,4840273.00,12,2015,13/09/2017 00:00:00
80,Pequena Central Hidrelétrica,PCH,441,4918966.57,12,2016,13/09/2017 00:00:00
81,Pequena Central Hidrelétrica,PCH,433,3870302.00,3,2012,13/09/2017 00:00:00
82,Pequena Central Hidrelétrica,PCH,440,4315464.00,3,2013,13/09/2017 00:00:00
83,Pequena Central Hidrelétrica,PCH,477,4669842.00,3,2014,13/09/2017 00:00:00
84,Pequena Central Hidrelétrica,PCH,476,4783058.00,3,2015,13/09/2017 00:00:00
85,Pequena Central Hidrelétrica,PCH,457,4825445.00,3,2016,13/09/2017 00:00:00
86,Pequena Central Hidrelétrica,PCH,436,4952202.57,3,2017,13/09/2017 00:00:00
87,Pequena Central Hidrelétrica,PCH,431,4017841.00,6,2012,13/09/2017 00:00:00
88,Pequena Central Hidrelétrica,PCH,456,4441066.00,6,2013,13/09/2017 00:00:00
89,Pequena Central Hidrelétrica,PCH,463,4640031.00,6,2014,13/09/2017 00:00:00
90,Pequena Central Hidrelétrica,PCH,471,4821940.00,6,2015,13/09/2017 00:00:00
91,Pequena Central Hidrelétrica,PCH,448,4816929.47,6,2016,13/09/2017 00:00:00
92,Pequena Central Hidrelétrica,PCH,425,4126294.00,9,2012,13/09/2017 00:00:00
93,Pequena Central Hidrelétrica,PCH,462,4569748.00,9,2013,13/09/2017 00:00:00
94,Pequena Central Hidrelétrica,PCH,470,4689552.00,9,2014,13/09/2017 00:00:00
95,Pequena Central Hidrelétrica,PCH,466,4816945.00,9,2015,13/09/2017 00:00:00
96,Pequena Central Hidrelétrica,PCH,446,4848790.47,9,2016,13/09/2017 00:00:00
97,Central Geradora Solar Fotovoltaica,UFV,0,0.00,12,2001,13/09/2017 00:00:00
98,Central Geradora Solar Fotovoltaica,UFV,0,0.00,12,2002,13/09/2017 00:00:00
99,Central Geradora Solar Fotovoltaica,UFV,1,20.00,12,2003,13/09/2017 00:00:00
100,Central Geradora Solar Fotovoltaica,UFV,1,20.00,12,2004,13/09/2017 00:00:00
101,Central Geradora Solar Fotovoltaica,UFV,1,20.00,12,2005,13/09/2017 00:00:00
102,Central Geradora Solar Fotovoltaica,UFV,1,20.00,12,2006,13/09/2017 00:00:00
103,Central Geradora Solar Fotovoltaica,UFV,1,20.00,12,2007,13/09/2017 00:00:00
104,Central Geradora Solar Fotovoltaica,UFV,1,20.00,12,2008,13/09/2017 00:00:00
105,Central Geradora Solar Fotovoltaica,UFV,1,20.00,12,2009,13/09/2017 00:00:00
106,Central Geradora Solar Fotovoltaica,UFV,2,90.00,12,2010,13/09/2017 00:00:00
107,Central Geradora Solar Fotovoltaica,UFV,6,1087.00,12,2011,13/09/2017 00:00:00
108,Central Geradora Solar Fotovoltaica,UFV,11,7578.00,12,2012,13/09/2017 00:00:00
109,Central Geradora Solar Fotovoltaica,UFV,45,4922.00,12,2013,13/09/2017 00:00:00
110,Central Geradora Solar Fotovoltaica,UFV,310,15080.00,12,2014,13/09/2017 00:00:00
111,Central Geradora Solar Fotovoltaica,UFV,33,21336.00,12,2015,13/09/2017 00:00:00
112,Central Geradora Solar Fotovoltaica,UFV,42,23008.42,12,2016,13/09/2017 00:00:00
113,Central Geradora Solar Fotovoltaica,UFV,6,1087.00,3,2012,13/09/2017 00:00:00
114,Central Geradora Solar Fotovoltaica,UFV,13,7586.00,3,2013,13/09/2017 00:00:00
115,Central Geradora Solar Fotovoltaica,UFV,87,6209.00,3,2014,13/09/2017 00:00:00
116,Central Geradora Solar Fotovoltaica,UFV,317,15179.00,3,2015,13/09/2017 00:00:00
117,Central Geradora Solar Fotovoltaica,UFV,38,22933.00,3,2016,13/09/2017 00:00:00
118,Central Geradora Solar Fotovoltaica,UFV,44,23760.67,3,2017,13/09/2017 00:00:00
119,Central Geradora Solar Fotovoltaica,UFV,8,1494.00,6,2012,13/09/2017 00:00:00
120,Central Geradora Solar Fotovoltaica,UFV,14,2617.00,6,2013,13/09/2017 00:00:00
121,Central Geradora Solar Fotovoltaica,UFV,130,9940.00,6,2014,13/09/2017 00:00:00
122,Central Geradora Solar Fotovoltaica,UFV,23,11233.00,6,2015,13/09/2017 00:00:00
123,Central Geradora Solar Fotovoltaica,UFV,39,22951.52,6,2016,13/09/2017 00:00:00
124,Central Geradora Solar Fotovoltaica,UFV,8,1494.00,9,2012,13/09/2017 00:00:00
125,Central Geradora Solar Fotovoltaica,UFV,32,2762.00,9,2013,13/09/2017 00:00:00
126,Central Geradora Solar Fotovoltaica,UFV,180,15312.00,9,2014,13/09/2017 00:00:00
127,Central Geradora Solar Fotovoltaica,UFV,25,21233.00,9,2015,13/09/2017 00:00:00
128,Central Geradora Solar Fotovoltaica,UFV,42,23008.42,9,2016,13/09/2017 00:00:00
129,Usina Hidrelétrica de Energia,UHE,133,61554000.00,12,2001,13/09/2017 00:00:00
130,Usina Hidrelétrica de Energia,UHE,138,64197600.00,12,2002,13/09/2017 00:00:00
131,Usina Hidrelétrica de Energia,UHE,140,66460250.00,12,2003,13/09/2017 00:00:00
132,Usina Hidrelétrica de Energia,UHE,144,67777680.00,12,2004,13/09/2017 00:00:00
133,Usina Hidrelétrica de Energia,UHE,149,69631000.00,12,2005,13/09/2017 00:00:00
134,Usina Hidrelétrica de Energia,UHE,156,72005411.00,12,2006,13/09/2017 00:00:00
135,Usina Hidrelétrica de Energia,UHE,158,74936894.00,12,2007,13/09/2017 00:00:00
